state,district_type,education_level,infrastructure_score,toilet_access,drinking_water_source,electricity_access,employment_type,health_index,poverty_status,housing_type,cooking_fuel_type,phone_access,transport_mode,internet_access
Maharashtra,Urban,Postgraduate,69.9,No,Well,1,Unemployed,0.1,1,Kutcha,Firewood,Basic Phone,Cycle,0
Odisha,Rural,Primary,45.8,Private,Unprotected,1,Private job,0.3,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Odisha,Urban,Secondary,43.4,Private,Well,1,Unemployed,0.36,1,Semi-Pucca,Firewood,None,Public Transport,0
Jharkhand,Rural,Secondary,67.9,Private,Well,1,Self-employed,0.17,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Odisha,Rural,Graduate,48.2,Private,Public tap,1,Informal,0.15,1,Kutcha,LPG,Smartphone,Cycle,0
Maharashtra,Urban,Primary,57.8,No,Well,1,Unemployed,0.46,1,Kutcha,Firewood,Basic Phone,Private Vehicle,1
West Bengal,Rural,Postgraduate,63.2,Private,Private tap,1,Unemployed,0.58,1,Pucca,LPG,Basic Phone,Cycle,1
Tamil Nadu,Urban,Secondary,34.3,Private,Unprotected,1,Govt job,0.15,1,Pucca,LPG,Basic Phone,Public Transport,0
Madhya Pradesh,Urban,Graduate,57.7,Shared,Private tap,1,Unemployed,0.27,1,Kutcha,LPG,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Primary,77.0,Shared,Unprotected,0,Informal,0.2,1,Kutcha,LPG,Basic Phone,Cycle,1
Chhattisgarh,Rural,Graduate,30.9,Private,Private tap,1,Informal,0.45,1,Kutcha,Firewood,None,Cycle,0
Kerala,Urban,Graduate,59.0,Private,Unprotected,1,Self-employed,0.12,1,Pucca,LPG,None,Public Transport,1
Gujarat,Urban,Secondary,33.4,No,Private tap,1,Informal,0.28,1,Semi-Pucca,LPG,Smartphone,Cycle,0
West Bengal,Urban,Secondary,70.4,Shared,Unprotected,1,Private job,0.11,1,Pucca,LPG,Basic Phone,Cycle,0
Gujarat,Rural,Secondary,70.2,No,Public tap,0,Informal,0.29,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Kerala,Rural,No School,42.9,Shared,Well,0,Unemployed,0.37,1,Pucca,Firewood,Smartphone,Public Transport,1
Madhya Pradesh,Urban,Graduate,94.2,Private,Well,1,Self-employed,0.14,1,Pucca,Firewood,Basic Phone,Private Vehicle,0
Uttar Pradesh,Urban,No School,72.1,Private,Well,1,Informal,0.08,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Uttar Pradesh,Rural,Primary,64.1,Shared,Well,1,Govt job,0.24,1,Semi-Pucca,Firewood,None,Public Transport,0
Uttar Pradesh,Rural,Secondary,63.0,Private,Unprotected,1,Private job,0.25,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Odisha,Rural,No School,69.7,Private,Private tap,1,Govt job,0.29,1,Kutcha,Biogas,Smartphone,Public Transport,0
Gujarat,Rural,Postgraduate,30.1,Shared,Private tap,1,Informal,0.02,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Odisha,Urban,Graduate,53.9,Private,Public tap,0,Informal,0.28,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Bihar,Rural,Secondary,57.7,Private,Well,1,Private job,0.12,1,Pucca,LPG,None,Private Vehicle,0
Uttar Pradesh,Rural,Graduate,42.0,Shared,Well,1,Informal,0.34,0,Pucca,LPG,Smartphone,Public Transport,0
Uttar Pradesh,Rural,Graduate,59.3,No,Public tap,1,Govt job,0.37,1,Pucca,Firewood,Smartphone,Public Transport,1
Rajasthan,Urban,Primary,74.6,Private,Well,1,Private job,0.65,1,Semi-Pucca,LPG,Basic Phone,Walk,1
Jharkhand,Rural,Graduate,41.6,Shared,Public tap,0,Self-employed,0.03,1,Kutcha,LPG,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Primary,48.9,Shared,Well,1,Informal,0.16,1,Semi-Pucca,Biogas,Basic Phone,Public Transport,1
Odisha,Rural,Secondary,33.6,Private,Private tap,1,Self-employed,0.31,1,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Maharashtra,Rural,Secondary,14.3,Private,Public tap,1,Unemployed,0.35,1,Kutcha,LPG,Basic Phone,Public Transport,1
Tamil Nadu,Rural,Graduate,65.6,Private,Private tap,1,Informal,0.18,1,Pucca,LPG,None,Walk,1
Odisha,Rural,No School,49.5,No,Well,1,Informal,0.33,1,Semi-Pucca,Firewood,None,Private Vehicle,1
Tamil Nadu,Rural,Primary,51.0,Private,Private tap,1,Unemployed,0.17,1,Pucca,LPG,Smartphone,Private Vehicle,1
Bihar,Rural,Secondary,30.3,Private,Private tap,1,Self-employed,0.13,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Tamil Nadu,Urban,Secondary,46.3,Private,Unprotected,1,Self-employed,0.15,1,Pucca,Firewood,Basic Phone,Walk,0
Odisha,Rural,Graduate,71.9,Shared,Well,1,Govt job,0.26,1,Kutcha,Biogas,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Secondary,50.0,Shared,Unprotected,1,Private job,0.22,1,Semi-Pucca,Firewood,Basic Phone,Cycle,1
Odisha,Rural,Primary,50.6,Private,Public tap,1,Informal,0.31,1,Kutcha,LPG,None,Cycle,0
Gujarat,Rural,Primary,54.2,Private,Unprotected,0,Govt job,0.54,1,Semi-Pucca,Kerosene,Basic Phone,Private Vehicle,0
West Bengal,Rural,Secondary,25.3,Private,Well,1,Informal,0.68,1,Kutcha,Firewood,Basic Phone,Walk,0
Chhattisgarh,Rural,Secondary,62.5,No,Unprotected,1,Self-employed,0.28,1,Semi-Pucca,Biogas,Smartphone,Cycle,1
Uttar Pradesh,Urban,Primary,24.9,Private,Unprotected,1,Private job,0.07,1,Pucca,Firewood,Basic Phone,Public Transport,0
Madhya Pradesh,Urban,Primary,31.2,Private,Well,1,Informal,0.67,1,Pucca,Firewood,None,Walk,0
Maharashtra,Urban,Primary,29.0,Private,Private tap,1,Self-employed,0.07,1,Pucca,Firewood,Smartphone,Walk,1
Tamil Nadu,Rural,Primary,46.5,No,Public tap,1,Informal,0.55,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Odisha,Urban,Secondary,43.0,Private,Unprotected,1,Govt job,0.73,0,Semi-Pucca,Firewood,Smartphone,Walk,1
Odisha,Urban,Graduate,50.0,Private,Well,1,Self-employed,0.11,1,Kutcha,LPG,Smartphone,Cycle,1
Tamil Nadu,Urban,Secondary,31.9,Private,Unprotected,0,Govt job,0.57,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Kerala,Rural,Graduate,70.1,Private,Public tap,1,Informal,0.37,0,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Madhya Pradesh,Rural,Primary,66.7,No,Public tap,0,Govt job,0.08,1,Kutcha,LPG,Basic Phone,Public Transport,0
Rajasthan,Urban,Secondary,46.5,Private,Public tap,1,Self-employed,0.24,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,1
Jharkhand,Rural,Secondary,40.4,Shared,Unprotected,0,Informal,0.25,1,Kutcha,LPG,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Secondary,38.4,Private,Private tap,1,Informal,0.75,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Chhattisgarh,Urban,Secondary,43.8,Shared,Private tap,1,Informal,0.45,0,Kutcha,Biogas,Basic Phone,Cycle,0
Odisha,Rural,Graduate,22.0,Shared,Private tap,1,Unemployed,0.12,1,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Bihar,Rural,Secondary,30.8,Private,Well,1,Unemployed,0.35,1,Semi-Pucca,Kerosene,Smartphone,Cycle,1
Madhya Pradesh,Urban,No School,67.2,No,Private tap,1,Unemployed,0.08,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,1
Tamil Nadu,Urban,Secondary,56.0,Private,Private tap,0,Govt job,0.18,1,Kutcha,Firewood,Smartphone,Cycle,0
Odisha,Rural,Graduate,82.7,Shared,Public tap,1,Private job,0.29,1,Semi-Pucca,Biogas,Smartphone,Public Transport,1
Chhattisgarh,Rural,Postgraduate,44.0,Private,Well,1,Govt job,0.04,1,Kutcha,Firewood,Smartphone,Public Transport,0
Bihar,Urban,Secondary,42.8,Private,Public tap,1,Govt job,0.17,1,Pucca,Kerosene,Smartphone,Walk,1
Jharkhand,Rural,Secondary,41.8,Shared,Unprotected,1,Informal,0.31,0,Kutcha,Firewood,None,Private Vehicle,1
Jharkhand,Rural,Secondary,43.6,Private,Unprotected,1,Informal,0.42,0,Semi-Pucca,LPG,Smartphone,Public Transport,0
Chhattisgarh,Rural,Graduate,36.8,No,Public tap,1,Private job,0.06,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Madhya Pradesh,Urban,Postgraduate,55.4,Shared,Well,1,Govt job,0.34,0,Kutcha,LPG,Basic Phone,Private Vehicle,1
Bihar,Rural,Graduate,50.6,Shared,Private tap,1,Unemployed,0.4,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Maharashtra,Rural,Secondary,39.8,Private,Private tap,1,Informal,0.41,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Tamil Nadu,Rural,No School,75.0,Shared,Well,1,Unemployed,0.13,1,Kutcha,LPG,Basic Phone,Private Vehicle,0
Bihar,Rural,Graduate,87.9,No,Private tap,0,Informal,0.23,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Maharashtra,Rural,Graduate,73.3,Private,Private tap,1,Informal,0.14,1,Kutcha,Firewood,None,Walk,0
West Bengal,Rural,Graduate,61.2,Shared,Public tap,1,Private job,0.17,1,Kutcha,Kerosene,Smartphone,Private Vehicle,0
Tamil Nadu,Rural,Primary,65.2,Shared,Unprotected,0,Self-employed,0.18,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Secondary,87.1,Shared,Well,0,Informal,0.17,1,Semi-Pucca,LPG,Smartphone,Cycle,1
Rajasthan,Rural,Primary,65.2,Shared,Well,1,Informal,0.25,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Uttar Pradesh,Urban,Graduate,38.3,No,Private tap,1,Govt job,0.58,1,Semi-Pucca,Firewood,Smartphone,Walk,0
Rajasthan,Rural,Primary,57.8,No,Private tap,1,Informal,0.33,1,Semi-Pucca,Biogas,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Secondary,62.5,No,Unprotected,1,Self-employed,0.39,1,Semi-Pucca,Kerosene,Smartphone,Walk,1
Gujarat,Rural,Primary,30.1,No,Well,1,Informal,0.41,1,Semi-Pucca,Biogas,Basic Phone,Walk,1
Bihar,Rural,No School,44.3,Shared,Public tap,1,Informal,0.15,1,Pucca,Kerosene,None,Cycle,1
Maharashtra,Rural,Secondary,72.0,Private,Unprotected,1,Unemployed,0.32,1,Pucca,LPG,Smartphone,Cycle,1
Madhya Pradesh,Urban,Primary,13.5,Private,Public tap,1,Private job,0.17,1,Kutcha,LPG,Basic Phone,Public Transport,0
Chhattisgarh,Rural,Secondary,25.0,No,Unprotected,1,Unemployed,0.41,1,Kutcha,Firewood,None,Public Transport,1
Odisha,Rural,Postgraduate,46.5,Private,Public tap,0,Informal,0.43,1,Pucca,Firewood,Smartphone,Public Transport,0
Rajasthan,Urban,Postgraduate,57.1,Private,Public tap,0,Informal,0.24,1,Semi-Pucca,LPG,Basic Phone,Walk,0
Odisha,Rural,Primary,22.8,Private,Public tap,1,Self-employed,0.42,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
West Bengal,Rural,Graduate,47.5,Shared,Well,0,Govt job,0.46,1,Kutcha,LPG,Smartphone,Private Vehicle,1
West Bengal,Rural,Secondary,73.1,Private,Private tap,1,Unemployed,0.2,1,Semi-Pucca,Firewood,None,Cycle,0
Odisha,Rural,Postgraduate,51.4,No,Well,1,Unemployed,0.57,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Gujarat,Rural,Graduate,68.8,Private,Public tap,1,Govt job,0.16,1,Pucca,Firewood,Basic Phone,Public Transport,1
Maharashtra,Rural,No School,38.2,No,Private tap,1,Govt job,0.44,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Gujarat,Urban,Secondary,33.8,Shared,Public tap,1,Govt job,0.46,1,Pucca,LPG,Smartphone,Private Vehicle,1
West Bengal,Urban,Primary,67.0,Shared,Unprotected,1,Self-employed,0.24,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Tamil Nadu,Rural,Graduate,57.4,Private,Private tap,1,Govt job,0.25,1,Semi-Pucca,Kerosene,Basic Phone,Private Vehicle,1
Odisha,Rural,Secondary,26.3,Private,Well,1,Informal,0.18,1,Pucca,Kerosene,Basic Phone,Walk,0
West Bengal,Urban,Secondary,34.0,No,Public tap,1,Self-employed,0.19,1,Kutcha,LPG,Smartphone,Public Transport,0
Rajasthan,Urban,Secondary,81.3,Shared,Private tap,1,Govt job,0.51,0,Pucca,LPG,Basic Phone,Cycle,1
Madhya Pradesh,Rural,Postgraduate,31.5,Private,Well,1,Unemployed,0.1,1,Pucca,Firewood,Smartphone,Cycle,1
Gujarat,Rural,Postgraduate,68.7,Private,Unprotected,1,Informal,0.48,0,Pucca,Biogas,Basic Phone,Public Transport,1
West Bengal,Urban,Secondary,40.4,Private,Public tap,1,Govt job,0.58,0,Kutcha,Biogas,Basic Phone,Public Transport,1
Maharashtra,Rural,Graduate,49.9,Private,Well,1,Self-employed,0.65,0,Semi-Pucca,LPG,Smartphone,Walk,1
Maharashtra,Urban,Graduate,55.9,No,Private tap,1,Self-employed,0.08,1,Kutcha,LPG,None,Private Vehicle,1
Odisha,Rural,Graduate,8.0,Shared,Unprotected,1,Informal,0.1,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Rajasthan,Rural,No School,20.7,Shared,Public tap,0,Unemployed,0.2,1,Pucca,Firewood,Smartphone,Cycle,0
Odisha,Rural,Primary,51.7,Shared,Well,1,Unemployed,0.41,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,1
Jharkhand,Rural,Primary,35.5,Private,Unprotected,1,Private job,0.34,1,Pucca,Firewood,Smartphone,Private Vehicle,1
Bihar,Rural,Secondary,69.9,Shared,Unprotected,1,Private job,0.1,1,Pucca,Firewood,Basic Phone,Public Transport,0
Bihar,Urban,Primary,17.9,No,Well,1,Informal,0.13,1,Semi-Pucca,LPG,Smartphone,Cycle,1
Maharashtra,Urban,Secondary,61.3,Shared,Public tap,1,Unemployed,0.62,1,Pucca,Firewood,Basic Phone,Public Transport,1
Bihar,Rural,Secondary,22.5,No,Well,1,Unemployed,0.02,1,Pucca,Firewood,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Secondary,43.0,Private,Unprotected,1,Informal,0.31,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Tamil Nadu,Rural,Secondary,28.7,No,Unprotected,1,Informal,0.03,1,Semi-Pucca,LPG,None,Public Transport,1
Odisha,Rural,No School,88.0,Shared,Private tap,0,Informal,0.15,1,Kutcha,LPG,Smartphone,Public Transport,1
Tamil Nadu,Rural,Graduate,23.2,Private,Public tap,1,Govt job,0.28,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Odisha,Urban,Postgraduate,47.6,Shared,Well,1,Govt job,0.71,0,Semi-Pucca,Kerosene,Smartphone,Cycle,1
Jharkhand,Rural,Secondary,15.5,No,Public tap,0,Unemployed,0.24,1,Pucca,Firewood,Basic Phone,Public Transport,1
West Bengal,Rural,Graduate,82.0,Private,Public tap,1,Self-employed,0.41,0,Kutcha,Firewood,Basic Phone,Cycle,1
Uttar Pradesh,Rural,Primary,58.0,No,Unprotected,1,Self-employed,0.26,1,Pucca,Firewood,Basic Phone,Public Transport,0
Madhya Pradesh,Rural,Graduate,52.7,Private,Private tap,1,Unemployed,0.17,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Odisha,Rural,Primary,79.5,Private,Well,1,Govt job,0.29,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Rajasthan,Rural,Secondary,52.9,Shared,Well,0,Unemployed,0.52,1,Kutcha,LPG,Smartphone,Cycle,1
Maharashtra,Rural,Primary,54.4,Shared,Private tap,0,Unemployed,0.18,1,Pucca,Biogas,Basic Phone,Public Transport,1
West Bengal,Rural,Secondary,52.6,Private,Private tap,1,Unemployed,0.13,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Chhattisgarh,Rural,Primary,61.3,Shared,Unprotected,1,Private job,0.38,1,Pucca,Firewood,Smartphone,Private Vehicle,1
Chhattisgarh,Rural,Secondary,40.2,Private,Unprotected,1,Self-employed,0.32,0,Kutcha,LPG,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Secondary,45.7,No,Well,0,Informal,0.47,1,Kutcha,LPG,Smartphone,Cycle,1
Rajasthan,Rural,Graduate,66.2,Private,Private tap,1,Govt job,0.28,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Bihar,Rural,Secondary,55.5,Private,Public tap,1,Informal,0.45,0,Pucca,Firewood,Smartphone,Walk,1
Uttar Pradesh,Rural,Primary,47.7,Private,Public tap,0,Private job,0.11,1,Semi-Pucca,Kerosene,Smartphone,Public Transport,0
Tamil Nadu,Rural,Primary,22.0,No,Private tap,1,Self-employed,0.45,1,Semi-Pucca,Firewood,Basic Phone,Private Vehicle,1
Gujarat,Urban,Graduate,80.0,Shared,Well,1,Self-employed,0.4,0,Semi-Pucca,LPG,None,Public Transport,0
Kerala,Rural,Secondary,36.8,No,Public tap,1,Govt job,0.17,1,Kutcha,Firewood,Basic Phone,Cycle,0
Kerala,Rural,Secondary,69.7,Private,Public tap,1,Self-employed,0.37,0,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Secondary,53.5,Shared,Private tap,1,Private job,0.35,0,Kutcha,LPG,Basic Phone,Private Vehicle,1
Gujarat,Rural,Primary,24.1,Private,Unprotected,1,Govt job,0.26,1,Kutcha,Kerosene,Basic Phone,Private Vehicle,1
West Bengal,Rural,Primary,75.0,Shared,Public tap,0,Unemployed,0.31,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Jharkhand,Rural,Secondary,55.1,No,Unprotected,1,Informal,0.4,1,Kutcha,LPG,Smartphone,Public Transport,1
West Bengal,Rural,Primary,76.7,Shared,Public tap,1,Unemployed,0.03,1,Pucca,Firewood,Basic Phone,Cycle,0
Chhattisgarh,Rural,Primary,46.4,Private,Well,1,Informal,0.35,1,Kutcha,Kerosene,None,Walk,1
Tamil Nadu,Urban,No School,64.1,Private,Unprotected,1,Informal,0.06,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Chhattisgarh,Rural,Primary,14.7,Shared,Well,0,Unemployed,0.59,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Odisha,Urban,Primary,40.0,Private,Unprotected,0,Informal,0.37,1,Pucca,LPG,Smartphone,Cycle,0
Chhattisgarh,Urban,Postgraduate,24.5,Shared,Private tap,1,Govt job,0.09,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Kerala,Rural,Secondary,42.5,Private,Private tap,1,Govt job,0.53,0,Kutcha,LPG,Smartphone,Cycle,0
Kerala,Rural,Graduate,59.4,Private,Public tap,1,Unemployed,0.28,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,0
Tamil Nadu,Rural,No School,37.9,Shared,Well,0,Unemployed,0.16,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Primary,67.3,No,Unprotected,1,Unemployed,0.2,1,Kutcha,Biogas,Basic Phone,Public Transport,0
Uttar Pradesh,Rural,Graduate,32.9,Shared,Well,1,Private job,0.26,1,Kutcha,Firewood,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Secondary,67.7,No,Well,1,Informal,0.04,1,Semi-Pucca,Firewood,Basic Phone,Walk,0
Gujarat,Rural,Primary,76.2,Private,Public tap,0,Private job,0.44,1,Kutcha,LPG,Smartphone,Public Transport,1
Madhya Pradesh,Urban,Secondary,70.3,Private,Private tap,1,Private job,0.06,1,Kutcha,Firewood,None,Public Transport,1
